U_RHE	Ni	U_RHE	Fe	U_RHE	Cu	U_RHE	Co	U_RHE	Au	U_RHE	Ag	U_RHE	Pt	U_RHE	Pd	U_RHE	Al	U_RHE	Pb
0.00E+00	0.00E+00	-0.008435949	0.385958464	-0.05089138	0.367579489	0	0	-0.004225352	0	-0.016901408	0	0.103012048	0	0.092168675	0	0.092168675	0	0.00E+00	0
-0.05519206	-0.023892667	-0.076364639	0.356552104	-0.106083441	0.343686822	-0.033802817	0	-0.054929577	0	-0.071830986	0	0.065060241	0	0.048795181	0	0.037951807	0	-0.069124424	0
-0.114684801	-0.439257489	-0.156974821	0.711266311	-0.17831281	-0.077191693	-0.071830986	0	-0.109859155	0.606451613	-0.130985915	0	0.010843373	-0.645316751	-0.01626506	-2.207656432	-0.03253012	0	-0.179723502	0
-0.170152545	-2.411321448	-0.22920419	0.290387796	-0.233449734	0.288549899	-0.118309859	-1.361290323	-0.185915493	0.212903226	-0.190140845	0	-0.01626506	-3.388301593	-0.048795181	-6.52246405	-0.113855422	0	-0.311059908	-0.179640719
-0.225840838	-5.941922441	-0.301598971	-1.299393494	-0.305623966	0.257305642	-0.181690141	-3.329032258	-0.245070423	-2.935483871	-0.261971831	1.393548387	-0.037951807	-7.707850758	-0.086746988	-11.62199767	-0.206024096	0	-0.435483871	-0.179640719
-0.269013049	-11.02554677	-0.36164308	-5.611100901	-0.386399559	-0.556882926	-0.228169014	-6.870967742	-0.3	-7.264516129	-0.325352113	0.606451613	-0.037951807	-12.82397979	-0.119277108	-17.90454722	-0.281927711	0	-0.546082949	-0.179640719
-0.290902408	-15.71034736	-0.413361514	-11.08803529	-0.458739202	-1.757029958	-0.270422535	-9.625806452	-0.325352113	-11.59354839	-0.392957746	-2.541935484	-0.043373494	-17.15064127	-0.135542169	-23.80066071	-0.406626506	0	-0.677419355	-6.22E-15
-0.312791766	-20.39514795	-0.443576548	-14.6076089	-0.488954236	-5.276603566	-0.312676056	-14.74193548	-0.363380282	-18.28387097	-0.43943662	-7.658064516	-0.043373494	-21.87322192	-0.140963855	-29.30796735	-0.498795181	-0.028915663	-0.822580645	-0.179640719
-0.330435582	-25.07811064	-0.469601176	-18.51497886	-0.523414813	-8.798015071	-0.342253521	-19.46451613	-0.388732394	-23.79354839	-0.456338028	-12.38064516	-0.048795181	-27.38052857	-0.168072289	-35.98643607	-0.547590361	-1.58177225	-0.953917051	-0.359281437
-0.356515346	-29.37511487	-0.491490535	-23.19977945	-0.549549715	-13.48465356	-0.367605634	-24.97419355	-0.418309859	-30.48387097	-0.481690141	-19.85806452	-0.054216867	-32.10073844	-0.184337349	-41.88254955	-0.618072289	-5.09288768	-1.036866359	-0.718562874
-0.370023893	-34.83550818	-0.51343503	-28.2742143	-0.579875023	-17.78349568	-0.388732394	-30.48387097	-0.447887324	-36.78064516	-0.523943662	-26.5483871	-0.065060241	-37.60567431	-0.20060241	-47.77866304	-0.65060241	-11.37543723	-1.112903226	-1.796407186
-0.400569748	-40.69288734	-0.539569932	-32.96085278	-0.606065062	-22.85976842	-0.405633803	-35.20645161	-0.469014085	-42.29032258	-0.574647887	-33.23870968	-0.065060241	-42.72180334	-0.211445783	-53.28359891	-0.677710843	-17.26680917	-1.15437788	-3.592814371
-0.405642345	-46.53923911	-0.557379158	-38.81271825	-0.632310237	-28.32567543	-0.435211268	-39.14193548	-0.502816901	-47.01290323	-0.608450704	-39.53548387	-0.075903614	-47.83319083	-0.21686747	-57.21671201	-0.69939759	-23.55410027	-1.188940092	-5.748502994
-0.43602279	-51.22771549	-0.575022974	-43.49568094	-0.662856093	-34.18305459	-0.464788732	-44.6516129	-0.507042254	-51.34193548	-0.629577465	-43.07741935	-0.081325301	-52.5534007	-0.222289157	-59.57563156	-0.721084337	-27.87364944	-1.202764977	-7.54491018
-0.440874839	-55.51553023	-0.588586657	-49.34570851	-0.668038963	-40.80867488	-0.490140845	-49.37419355			-0.650704225	-47.01290323	-0.086746988	-56.09296541			-0.737349398	-34.16331131	-1.209677419	-9.700598802
-0.454052564	-58.63811799	-0.598015071	-55.9731667	-0.68154751	-46.26906819	-0.498591549	-53.70322581			-0.676056338	-50.9483871	-0.086746988	-59.24135251			-0.753614458	-39.66587641	-1.202764977	-12.5748503
		-0.602756846	-59.48171292	-0.690645102	-50.55872082											-0.759036145	-44.77963467	-1.209677419	-15.08982036
																-0.769879518	-50.28457054	-1.209677419	-16.70658683
																-0.780722892	-56.1830548	-1.230414747	-18.32335329
																-0.786144578	-59.32907112	-1.230414747	-20.47904192
																-0.346987952	0.691799456	-1.244239631	-22.45508982
																		-1.237327189	-24.61077844
																		-1.251152074	-26.22754491
																		-1.251152074	-28.0239521
																		-1.251152074	-29.28143713
																			
																			
																			
																			
																			
																			
																			
