U_RHE	Ni	U_RHE	Fe	U_RHE	Cu	U_RHE	Co	U_RHE	Au	U_RHE	Ag	U_RHE	Pt	U_RHE	Pd	U_RHE	Al	U_RHE	Pb
-0.708084469	0.752242025	0.767581249	0.575827467	-0.808045529	1.03001947	-0.807042254	0.23215153	-0.807042254	0.302496357	-0.807042254	0.525944633	-0.468862275	0.102112676	-0.468862275	0.042253521	-0.997005988	0.207746479	-1.499955484	1.355769231
-0.64524487	0.682474165	-0.704499027	0.575288303	-0.745960761	0.744873446	-0.747887324	0.199320058	-0.752112676	0.282059252	-0.747887324	0.402078679	-0.409580838	0.091549296	-0.409580838	0.045774648	-0.926946108	0.193661972	-1.423700142	1.326923077
-0.590546653	0.689698967	-0.649827767	0.574821027	-0.683282911	0.628953123	-0.692957746	0.149917436	-0.692957746	0.282331229	-0.688732394	0.269936863	-0.355688623	0.063380282	-0.350299401	0.049295775	-0.867664671	0.183098592	-1.376112892	1.105769231
-0.52323199	0.696815935	-0.582701812	0.528093455	-0.62486446	0.497684589	-0.633802817	0.154327343	-0.629577465	0.266070908	-0.633802817	0.17915493	-0.291017964	0.042253521	-0.285628743	0.042253521	-0.813772455	0.176056338	-1.327724359	1.057692308
-0.459718436	0.819350007	-0.528273177	0.458397484	-0.570840198	0.312607458	-0.570422535	0.154618747	-0.570422535	0.241515299	-0.570422535	0.084273919	-0.231736527	0.038732394	-0.231736527	0.031690141	-0.749101796	0.13028169	-1.251914174	0.932692308
-0.41723229	0.942063801	-0.465487494	0.37324547	-0.507919724	0.26591583	-0.511267606	0.138339	-0.511267606	0.17971831	-0.511267606	0.05971831	-0.17245509	0.038732394	-0.17245509	0.024647887	-0.689820359	0.116197183	-1.189992877	0.807692308
-0.34142579	0.972185113	-0.411139733	0.280473266	-0.445026209	0.211532125	-0.447887324	0.180009713	-0.452112676	0.126197183	-0.447887324	0.055871782	-0.113173653	0.028169014	-0.113173653	0.014084507	-0.630538922	0.102112676	-1.128027066	0.692307692
-0.287185862	0.848644601	-0.348327093	0.203013329	-0.390543657	0.157220309	-0.388732394	0.172005828	-0.392957746	0.093365712	-0.392957746	0.043710539			-0.053892216	0.014084507	-0.571257485	0.042253521	-1.059027778	0.596153846
-0.233485098	0.571262543	-0.298211772	0.102584993	-0.331639958	0.164409166	-0.329577465	0.201243322	-0.329577465	0.052277805	-0.333802817	0.031568723			0.005389222	0.003521127	-0.511976048	0.017605634	-1.003828348	0.519230769
-0.171292497	0.316884829					-0.274647887	0.184944148	-0.270422535	0.011170471	-0.270422535	0.019446333					-0.452694611	0.01056338	-0.962651353	0.413461538
-0.11295492	0.162540063					-0.211267606	0.135580379	-0.211267606	0.007304517									-0.893384972	0.375
						-0.147887324	0.08621661											-0.824341168	0.288461538
						-0.088732394	0.024419621											-0.755608974	0.134615385
																		-0.714298433	0.057692308
																		-0.658876425	0.028846154
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
